Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-28,3692,3792,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",511.0,323.0,809.0,420.0,321.0,551.0,721.0,493.0,1056.0,595.0,374.0,948.0,427.0,284.0,643.0,305.0,234.0,397.0
2019-03-28,3760,3394,"Powell BART Station, Market St and Powell St, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",881.0,659.0,1177.0,1038.0,758.0,1420.0,998.0,708.0,1406.0,806.0,648.0,1003.0,908.0,701.0,1176.0,,,
2019-03-28,3760,3396,"Powell BART Station, Market St and Powell St, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1174.0,914.0,1506.0,,,,,,,,,,,,,,,
2019-03-28,3760,3792,"Powell BART Station, Market St and Powell St, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",658.0,457.0,946.0,635.0,478.0,844.0,,,,,,,,,,,,
2019-03-28,3792,3603,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Embarcadero, San Francisco, CA",574.0,399.0,826.0,1001.0,585.0,1714.0,608.0,417.0,885.0,536.0,412.0,698.0,476.0,348.0,651.0,,,
2019-03-28,3792,3692,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",534.0,345.0,825.0,766.0,487.0,1204.0,649.0,447.0,943.0,471.0,321.0,690.0,440.0,319.0,609.0,,,
2019-03-28,3792,3760,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",795.0,528.0,1196.0,,,,1052.0,736.0,1502.0,627.0,463.0,850.0,,,,,,
2019-03-29,3394,3603,"Fisherman's Wharf, San Francisco, CA","Embarcadero, San Francisco, CA",723.0,553.0,945.0,782.0,610.0,1003.0,820.0,642.0,1047.0,698.0,579.0,841.0,659.0,497.0,873.0,,,
2019-03-29,3394,3692,"Fisherman's Wharf, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",975.0,744.0,1278.0,975.0,732.0,1299.0,1122.0,919.0,1370.0,1015.0,815.0,1263.0,839.0,696.0,1010.0,1054.0,586.0,1895.0
2019-03-29,3394,3760,"Fisherman's Wharf, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1008.0,818.0,1242.0,1077.0,809.0,1432.0,1008.0,890.0,1142.0,1034.0,847.0,1262.0,985.0,808.0,1201.0,,,
