,WeekDay,Origin Movement ID,Destination Movement ID,Evening Mean Travel Time (Seconds),combined,Distance
101,5,3692,3792,378.2692307692308,"3692, 3792",1.4
102,5,3760,3394,891.6153846153846,"3760, 3394",2.5
103,5,3760,3396,,"3760, 3396",4.1
104,5,3760,3792,701.0909090909091,"3760, 3792",1.1
105,5,3792,3603,407.34615384615387,"3792, 3603",1.7
106,5,3792,3692,475.88461538461536,"3792, 3692",1.0
107,5,3792,3760,731.4,"3792, 3760",1.6
108,6,3394,3603,645.4583333333334,"3394, 3603",1.5
109,6,3394,3692,792.4615384615385,"3394, 3692",1.9
110,6,3394,3760,914.0769230769231,"3394, 3760",1.9
111,6,3396,3603,1149.5,"3396, 3603",3.2
112,6,3396,3692,1213.5,"3396, 3692",3.5
113,6,3396,3760,1398.0,"3396, 3760",3.5
114,6,3603,3394,580.55,"3603, 3394",1.5
115,6,3603,3396,,"3603, 3396",3.2
116,6,3603,3792,470.7307692307692,"3603, 3792",1.8
117,6,3692,3394,653.1923076923077,"3692, 3394",2.4
118,6,3692,3396,,"3692, 3396",4.2
119,6,3692,3792,404.0,"3692, 3792",1.4
120,6,3760,3394,794.0,"3760, 3394",2.5
121,6,3760,3396,,"3760, 3396",4.1
122,6,3760,3792,590.5,"3760, 3792",1.1
123,6,3792,3603,376.69565217391306,"3792, 3603",1.7
124,6,3792,3692,408.5769230769231,"3792, 3692",1.0
125,6,3792,3760,669.5,"3792, 3760",1.6
