,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined
93,5,3396,3603,1400.5714285714287,"3396, 3603"
94,5,3396,3692,1510.7,"3396, 3692"
95,5,3396,3760,1418.55,"3396, 3760"
96,5,3603,3394,710.5384615384615,"3603, 3394"
97,5,3603,3396,1216.05,"3603, 3396"
98,5,3603,3792,563.6923076923077,"3603, 3792"
99,5,3692,3394,833.7307692307693,"3692, 3394"
100,5,3692,3396,1391.1764705882354,"3692, 3396"
101,5,3692,3792,405.8076923076923,"3692, 3792"
102,5,3760,3394,916.8461538461538,"3760, 3394"
103,5,3760,3396,1442.3,"3760, 3396"
104,5,3760,3792,930.3913043478261,"3760, 3792"
105,5,3792,3603,510.4230769230769,"3792, 3603"
106,5,3792,3692,579.6923076923077,"3792, 3692"
107,5,3792,3760,842.8333333333334,"3792, 3760"
108,6,3394,3603,727.0384615384615,"3394, 3603"
109,6,3394,3692,909.44,"3394, 3692"
110,6,3394,3760,983.84,"3394, 3760"
111,6,3396,3603,1397.25,"3396, 3603"
112,6,3396,3692,1452.2916666666667,"3396, 3692"
113,6,3396,3760,1382.0,"3396, 3760"
114,6,3603,3394,683.76,"3603, 3394"
115,6,3603,3396,1183.8333333333333,"3603, 3396"
116,6,3603,3792,550.6923076923077,"3603, 3792"
117,6,3692,3394,774.4,"3692, 3394"
118,6,3692,3396,1286.764705882353,"3692, 3396"
119,6,3692,3792,383.4,"3692, 3792"
120,6,3760,3394,894.7692307692307,"3760, 3394"
121,6,3760,3396,1232.3,"3760, 3396"
122,6,3760,3792,840.1304347826087,"3760, 3792"
123,6,3792,3603,451.84,"3792, 3603"
124,6,3792,3692,518.0,"3792, 3692"
125,6,3792,3760,824.6111111111111,"3792, 3760"
