,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined,Distance,r-squared
67,3,3760,3396,1109.3333333333333,"3760, 3396",4.1,0.005
68,3,3760,3792,800.6,"3760, 3792",1.1,0.819
69,3,3792,3603,577.1153846153846,"3792, 3603",1.7,0.058
70,3,3792,3692,615.7307692307693,"3792, 3692",1.0,0.006
71,3,3792,3760,810.3333333333334,"3792, 3760",1.6,0.124
72,4,3394,3603,800.0769230769231,"3394, 3603",1.5,0.315
73,4,3394,3692,1151.3461538461538,"3394, 3692",1.9,0.174
74,4,3394,3760,1076.576923076923,"3394, 3760",1.9,0.336
75,4,3396,3603,1362.6666666666667,"3396, 3603",3.2,0.967
76,4,3396,3692,1526.0,"3396, 3692",3.5,0.091
77,4,3396,3760,1506.6666666666667,"3396, 3760",3.5,0.328
78,4,3603,3394,691.4230769230769,"3603, 3394",1.5,0.32
79,4,3603,3396,1280.8260869565217,"3603, 3396",3.2,0.176
80,4,3603,3792,662.9230769230769,"3603, 3792",1.8,0.054
81,4,3692,3394,860.0384615384615,"3692, 3394",2.4,0.149
82,4,3692,3396,1344.5,"3692, 3396",4.2,0.469
83,4,3692,3792,596.9230769230769,"3692, 3792",1.4,0.332
84,4,3760,3394,899.3461538461538,"3760, 3394",2.5,0.729
85,4,3760,3396,1200.4285714285713,"3760, 3396",4.1,0.005
86,4,3760,3792,806.8235294117648,"3760, 3792",1.1,0.819
87,4,3792,3603,547.7692307692307,"3792, 3603",1.7,0.058
88,4,3792,3692,598.0,"3792, 3692",1.0,0.006
89,4,3792,3760,840.7692307692307,"3792, 3760",1.6,0.124
90,5,3394,3603,820.6153846153846,"3394, 3603",1.5,0.315
91,5,3394,3692,988.7307692307693,"3394, 3692",1.9,0.174
92,5,3394,3760,1034.2307692307693,"3394, 3760",1.9,0.336
93,5,3396,3603,1400.5714285714287,"3396, 3603",3.2,0.967
94,5,3396,3692,1510.7,"3396, 3692",3.5,0.091
95,5,3396,3760,1418.55,"3396, 3760",3.5,0.328
96,5,3603,3394,710.5384615384615,"3603, 3394",1.5,0.32
97,5,3603,3396,1216.05,"3603, 3396",3.2,0.176
98,5,3603,3792,563.6923076923077,"3603, 3792",1.8,0.054
99,5,3692,3394,833.7307692307693,"3692, 3394",2.4,0.149
100,5,3692,3396,1391.1764705882354,"3692, 3396",4.2,0.469
101,5,3692,3792,405.8076923076923,"3692, 3792",1.4,0.332
102,5,3760,3394,916.8461538461538,"3760, 3394",2.5,0.729
103,5,3760,3396,1442.3,"3760, 3396",4.1,0.005
104,5,3760,3792,930.3913043478261,"3760, 3792",1.1,0.819
105,5,3792,3603,510.4230769230769,"3792, 3603",1.7,0.058
106,5,3792,3692,579.6923076923077,"3792, 3692",1.0,0.006
107,5,3792,3760,842.8333333333334,"3792, 3760",1.6,0.124
108,6,3394,3603,727.0384615384615,"3394, 3603",1.5,0.315
109,6,3394,3692,909.44,"3394, 3692",1.9,0.174
110,6,3394,3760,983.84,"3394, 3760",1.9,0.336
111,6,3396,3603,1397.25,"3396, 3603",3.2,0.967
112,6,3396,3692,1452.2916666666667,"3396, 3692",3.5,0.091
113,6,3396,3760,1382.0,"3396, 3760",3.5,0.328
114,6,3603,3394,683.76,"3603, 3394",1.5,0.32
115,6,3603,3396,1183.8333333333333,"3603, 3396",3.2,0.176
116,6,3603,3792,550.6923076923077,"3603, 3792",1.8,0.054
117,6,3692,3394,774.4,"3692, 3394",2.4,0.149
118,6,3692,3396,1286.764705882353,"3692, 3396",4.2,0.469
119,6,3692,3792,383.4,"3692, 3792",1.4,0.332
120,6,3760,3394,894.7692307692307,"3760, 3394",2.5,0.729
121,6,3760,3396,1232.3,"3760, 3396",4.1,0.005
122,6,3760,3792,840.1304347826087,"3760, 3792",1.1,0.819
123,6,3792,3603,451.84,"3792, 3603",1.7,0.058
124,6,3792,3692,518.0,"3792, 3692",1.0,0.006
125,6,3792,3760,824.6111111111111,"3792, 3760",1.6,0.124
